time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
157989.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157999.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158009.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158019.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158029.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158039.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158050.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158059.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158069.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158079.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158089.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158099.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158109.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158119.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158129.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158139.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158149.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158159.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158169.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158179.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158189.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158199.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158209.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158219.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158229.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158239.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158249.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158259.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158269.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158279.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158289.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158299.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158309.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158319.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158329.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158339.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158349.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158359.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158369.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158379.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158389.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158399.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158409.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158419.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158429.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158439.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158449.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158459.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158469.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158479.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158489.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158499.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158509.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158519.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158529.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158539.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158549.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158559.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158569.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158579.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158589.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158599.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158609.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158619.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158629.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158639.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158649.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158659.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158669.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158679.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158689.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158699.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158709.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158719.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158729.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158739.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158749.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158759.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158769.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158779.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158789.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
158799.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
